Adolescent.fertility.rate....,Adult.literacy.rate....,Gross.national.income.per.capita..PPP.international...,Net.primary.school.enrolment.ratio.female....,Net.primary.school.enrolment.ratio.male....
151,28,NA,NA,NA
27,98.7,6000,93,94
6,69.9,5940,94,96
NA,NA,NA,83,83
146,67.4,3890,49,51
NA,NA,15130,NA,NA
62,97.2,11670,98,99
30,99.4,4950,84,80
16,NA,33940,97,96
14,NA,36040,98,97
31,98.8,5430,83,86
46,NA,NA,89,87
14,86.5,34310,98,98
135,47.5,1230,90,87
51,NA,15150,96,97
22,99.6,9700,88,90
5,NA,33860,97,97
90,70.3,7080,97,97
108,34.7,1250,73,87
NA,NA,NA,NA,NA
62,NA,4000,79,79
97,86.7,3810,95,94
25,96.7,6780,NA,NA
51,81.2,11730,85,83
71,88.6,8700,95,93
31,92.7,49900,94,94
40,98.2,10270,92,93
131,23.6,1130,42,52
30,59.3,320,73,76
52,73.6,1550,89,91
141,67.9,2060,65,74
14,NA,36280,100,99
104,81.2,2590,87,88
157,48.6,690,38,53
193,25.7,1170,49,71
49,95.7,11300,89,90
3,90.9,4660,96,100
92,92.8,6130,88,89
66,NA,1140,50,60
125,67.2,270,47,60
132,84.4,2420,52,58
NA,NA,NA,75,73
77,94.9,9220,88,87
132,48.7,1580,49,61
14,98.1,13850,90,91
47,99.8,NA,97,96
5,96.8,25060,99,99
11,NA,20920,94,91
6,NA,36190,96,95
27,NA,2180,34,42
NA,NA,7870,79,75
118,87,5550,78,76
100,91,6810,97,96
48,71.4,4940,94,98
104,74.1,5610,94,94
128,87,16620,83,91
85,NA,680,43,50
21,99.8,18090,94,95
109,35.9,630,68,74
35,NA,4450,91,91
11,NA,33170,97,97
8,NA,32240,99,98
NA,NA,NA,NA,NA
144,83.8,11180,88,88
167,NA,1110,64,59
47,NA,3880,91,88
11,NA,32680,98,98
74,57.9,1240,71,73
11,96,30870,99,100
53,NA,8770,83,84
120,69.1,5120,92,96
153,29.5,1130,66,77
NA,NA,460,37,53
90,NA,3410,89,89
69,NA,1070,22,21
108,80,3420,97,96
NA,NA,NA,NA,NA
21,NA,16970,88,89
16,NA,33740,97,98
97,61,2460,87,90
54,90.4,3310,94,97
35,82.4,9800,100,91
17,74.1,NA,82,95
19,NA,34730,95,94
15,NA,23840,97,96
7,98.4,28970,98,99
65,79.9,7050,90,90
6,NA,32840,100,100
30,91.1,4820,90,89
26,99.5,8700,90,90
116,73.6,1470,76,75
NA,NA,6230,98,96
0,NA,NA,NA,NA
2,NA,22990,93,100
15,93.3,48310,83,84
27,98.7,1790,85,86
110,68.7,1740,81,86
16,99.7,14840,92,89
18,NA,9600,82,82
98,82.2,1810,74,71
NA,60,260,39,40
7,85,11630,91,95
19,99.6,14550,89,90
11,NA,60870,98,96
NA,NA,NA,NA,NA
23,96.1,7850,92,92
154,70.7,870,96,96
160,64.1,690,94,88
12,88.7,12160,100,100
8,96.3,4740,97,97
192,24,1000,54,67
17,87.9,20990,91,92
NA,NA,8040,66,67
88,51.2,1970,82,78
36,84.3,10640,96,94
94,91.6,11990,97,98
44,NA,6070,NA,NA
29,99,2660,88,88
NA,NA,NA,NA,NA
28,97.8,2810,93,90
16,NA,8930,NA,NA
35,52.3,3860,85,91
185,38.7,660,73,79
29,89.9,510,100,99
88,85,4770,79,74
NA,NA,NA,NA,NA
106,48.6,1010,74,84
7,NA,37940,97,99
NA,NA,NA,NA,NA
NA,NA,NA,NA,NA
27,NA,25750,99,99
119,76.7,2720,90,90
199,28.7,630,37,50
126,69,1410,59,68
NA,NA,NA,98,99
8,NA,50070,98,98
11,81.4,19740,75,73
24,49.9,2410,57,73
NA,NA,14340,94,98
84,91.9,8690,98,99
77,57.3,1630,NA,NA
65,93.2,4040,95,94
59,87.9,6490,97,96
55,92.6,3430,92,90
14,NA,14250,96,96
19,93.9,19960,98,98
NA,NA,NA,NA,NA
19,89,NA,94,93
33,97.3,10150,93,93
28,99.4,12740,91,91
44,64.9,730,81,76
NA,NA,12440,78,64
51,NA,8500,97,99
71,NA,6220,88,92
45,98.6,5090,91,90
NA,NA,NA,NA,NA
91,84.9,1490,98,97
15,82.9,22300,87,87
100,39.3,1560,70,71
24,NA,9320,NA,NA
NA,91.8,14360,100,99
178,34.8,610,36,50
7,92.5,43300,77,77
21,NA,17060,92,92
6,99.7,23970,95,96
72,NA,1850,61,62
35,NA,NA,6,11
65,82.4,8900,88,88
10,97.2,28200,99,100
29,90.7,3730,100,99
51,60.9,1780,37,45
62,89.6,7720,98,95
73,79.6,4700,79,78
7,NA,34310,95,95
5,NA,40840,89,89
58,80.8,4110,92,97
NA,NA,NA,NA,NA
57,99.5,1560,95,99
139,69.4,980,97,98
70,92.6,7440,94,94
49,NA,5100,67,70
89,53.2,770,75,86
17,98.9,5470,94,97
35,98.5,16800,85,85
8,74.3,6490,97,96
51,87.4,8410,89,93
29,98.8,3990,NA,NA
NA,NA,NA,NA,NA
159,68.1,880,NA,NA
29,99.4,6110,90,90
37,88.5,31190,88,88
27,NA,33650,99,98
43,NA,44070,93,91
64,96.8,9940,100,100
40,NA,2190,78,79
92,75.5,3480,86,88
81,93,10970,91,91
25,90.3,2310,91,96
NA,NA,NA,NA,NA
83,54.1,2090,65,85
161,68,1140,94,90
101,89.5,NA,88,87
