"Atbat","Hits","Homer","Runs","RBI","Walks","Years","Atbatc","Hitsc","Homerc","Runsc","RBIc","Walksc","Putouts","Assists","Errors","Salary"
293,66,1,30,29,14,1,293,66,1,30,29,14,446,33,20,NA
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,500
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,92
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,100
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,513
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,700
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240
183,39,3,20,15,11,3,201,42,3,20,16,11,118,0,0,NA
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,775
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,175
407,104,6,57,43,65,12,5233,1478,100,643,658,653,912,88,9,NA
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,135
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,100
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,115
22,10,1,4,2,1,6,84,26,2,9,9,3,812,84,11,NA
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,600
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,777
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,765
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,708
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,750
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,900
313,84,9,42,30,39,17,6890,1833,224,1033,864,1087,127,221,7,NA
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110
517,141,27,70,87,52,9,3571,994,215,545,652,337,1378,102,8,NA
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,613
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,300
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850
161,36,0,19,10,17,4,1053,244,3,156,86,107,70,149,12,NA
268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,90
346,98,5,31,53,30,16,5913,1615,235,784,901,560,0,0,0,NA
241,61,1,34,12,14,1,241,61,1,34,12,14,166,172,10,NA
181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,68
216,54,0,21,18,15,18,7318,1926,46,796,627,483,103,84,5,NA
200,57,6,23,14,14,9,2516,684,46,371,230,195,69,1,1,NA
217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180
194,40,7,19,29,30,11,4183,1069,64,486,493,608,325,22,2,NA
254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305
416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215
205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,248
542,140,12,46,75,41,16,7099,2130,235,987,1089,431,697,61,9,NA
